Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,MA_90,Volatility_7,Volatility_30,Daily_Range,Daily_Range_Pct,Month,Month_Name
2025-04-25,94720.5,95768.390625,92898.59375,93954.25,40915232364,0.8267742531563593,90508.84598214286,84685.67005208334,89377.78090277778,2.417367840745938,2.9925593784766322,2869.796875,3.0297526670572896,2025-04,Apr
2025-04-26,94646.9296875,95251.359375,93927.25,94714.6484375,17612825123,-0.07767095032226168,91877.91964285714,84934.66432291667,89288.49678819445,2.4880809422071235,2.993487821118068,1324.109375,1.3989987624235367,2025-04,Apr
2025-04-27,93754.84375,95301.203125,93665.3984375,94660.90625,18090367764,-0.942540809771053,93103.7109375,85248.05416666667,89195.90963541667,2.6205172228477083,2.928045769586658,1635.8046875,1.7447681869770062,2025-04,Apr
2025-04-28,94978.75,95598.4921875,92860.8046875,93755.3046875,32363449569,1.3054325526514532,94169.40290178571,85660.75963541666,89125.31267361112,2.553061776453247,2.8944249881862145,2737.6875,2.8824210678704447,2025-04,Apr
2025-04-29,94284.7890625,95485.4140625,93796.6328125,94981.859375,25806129921,-0.7306486319308303,94289.81696428571,86059.10182291667,89020.66354166667,0.7999600457071531,2.899450686779529,1688.78125,1.7911492052875375,2025-04,Apr
2025-04-30,94207.3125,95249.3203125,92979.640625,94286.46875,28344679831,-0.08217291810309613,94362.41741071429,86447.71510416667,88903.68585069444,0.8006320569865836,2.901072261274852,2269.6796875,2.409239396888644,2025-04,Apr
2025-05-01,96492.3359375,97437.9609375,94153.6328125,94212.859375,32875889623,2.425526614507767,94726.49441964286,86825.15390625,88837.98932291666,1.2003704178761152,2.8802563827910146,3284.328125,3.403719158718807,2025-05,May
2025-05-02,96910.0703125,97905.8984375,96375.9453125,96494.96875,26421924677,0.43291974532626565,95039.29017857143,87305.96588541666,88796.36892361111,1.1855834432143992,2.798645768926605,1529.953125,1.5787349241069102,2025-05,May
2025-05-03,95891.796875,96943.8828125,95821.2890625,96904.6328125,15775154889,-1.0507405827035687,95217.12834821429,87732.26484375,88776.40026041666,1.2938590013093951,2.8140597520525574,1122.59375,1.1706879906144214,2025-05,May
2025-05-04,94315.9765625,96318.921875,94173.4296875,95877.1875,18198688416,-1.6433317174712747,95297.29017857143,88081.33723958333,88697.62864583333,1.4176439604637041,2.8403303066889523,2145.4921875,2.274791891783313,2025-05,May
2025-05-05,94748.0546875,95193.1875,93566.265625,94319.5625,25816260327,0.45811763897039004,95264.33370535714,88456.1125,88662.92013888889,1.3304441794437554,2.8359391971609695,1626.921875,1.71710319580275,2025-05,May
2025-05-06,96802.4765625,96889.1796875,93399.859375,94748.3828125,26551275827,2.168299794413664,95624.00334821429,89075.71223958333,88664.99826388889,1.5135639029367443,2.543143310784491,3489.3203125,3.604577523641287,2025-05,May
2025-05-07,97032.3203125,97625.8046875,95829.3359375,96800.1953125,76983822462,0.23743581586117557,96027.57589285714,89668.94505208333,88669.87630208333,1.5018290158913652,2.5424868743151543,1796.46875,1.8514127501170077,2025-05,May
2025-05-08,103241.4609375,103969.5390625,96913.875,97034.25,69895404397,6.3990437464578775,96991.73660714286,90567.92864583334,88744.45824652778,2.6740748400326004,2.603949456689154,7055.6640625,6.834138144142823,2025-05,May
2025-05-09,102970.8515625,104297.4921875,102343.09375,103239.125,58198593958,-0.2621130818400763,97857.5625,91247.82526041666,88816.5515625,2.7112956078548325,2.2271755712487353,1954.3984375,1.8980113380083516,2025-05,May
2025-05-10,104696.328125,104961.765625,102830.484375,102973.7109375,42276713994,1.6756941758927724,99115.35267857143,92083.49817708334,88907.62083333333,2.576687366983501,2.0761475397645466,2131.28125,2.035679080793933,2025-05,May
2025-05-11,104106.359375,104937.9921875,103364.7421875,104701.0703125,46285517406,-0.5635047193781384,100513.97879464286,92773.54895833334,88981.71866319445,2.3978951042439047,1.9635175584951519,1573.25,1.5111949062909973,2025-05,May
2025-05-12,102812.953125,105747.453125,100814.40625,104106.9609375,63250475404,-1.242389281274392,101666.10714285714,93357.74375,89060.22447916666,2.5927283533593823,1.9754252526704859,4933.046875,4.798079157401889,2025-05,May
2025-05-13,104169.8125,104997.421875,101515.09375,102812.4921875,52608876410,1.3197358248725033,102718.58370535714,94040.57161458333,89130.04618055555,2.5596331339753426,1.920167512185983,3482.328125,3.3429340433918897,2025-05,May
2025-05-14,103539.4140625,104303.5625,102618.296875,104167.328125,45956071155,-0.6051642240404331,103648.16852678571,94673.80572916666,89206.88559027777,2.6248717194023867,1.9351228561665026,1685.265625,1.6276561348731555,2025-05,May
2025-05-15,103744.640625,104153.6171875,101440.8125,103538.828125,50408241840,0.198211052629782,103720.05133928571,95342.99401041666,89276.17083333334,1.0681946254280705,1.9100910547482837,2712.8046875,2.614886582243631,2025-05,May
2025-05-16,103489.2890625,104533.484375,103137.4765625,103735.65625,44386499364,-0.24613470244020386,103794.11383928571,95991.50807291667,89341.82569444444,1.0673725546881974,1.9178372756964883,1396.0078125,1.3489394169641198,2025-05,May
2025-05-17,103191.0859375,103716.9453125,102659.1796875,103489.2890625,37898552742,-0.28814878109744146,103579.07924107143,96601.35260416666,89419.78185763888,0.8021668124959516,1.925456456152514,1057.765625,1.0250552316511714,2025-05,May
2025-05-18,106446.0078125,106597.171875,103142.6015625,103186.953125,49887082058,3.154266519659865,103913.31473214286,97334.52604166667,89538.36657986112,1.473903602698378,1.9635339596461003,3454.5703125,3.245373296277184,2025-05,May
2025-05-19,105606.1796875,107068.71875,102112.6875,106430.53125,61761126647,-0.7889709931436006,104312.34709821429,98019.28489583333,89650.21805555555,1.401618794806367,1.9846745249746194,4956.03125,4.692936781413197,2025-05,May
2025-05-20,106791.0859375,107307.1171875,104206.515625,105605.40625,36515726122,1.1220046530480143,104686.81473214286,98739.84427083333,89763.05668402778,1.3816552594708755,1.9823901025718247,3100.6015625,2.9034273181889376,2025-05,May
2025-05-21,109678.078125,110724.4609375,106127.234375,106791.3125,78086364051,2.7034018449719976,105563.76674107143,99478.48333333334,89889.10269097223,1.5505578806103142,1.980713761096172,4597.2265625,4.191563748282082,2025-05,May
2025-05-22,111673.28125,111970.171875,109285.0703125,109673.4921875,70157575642,1.8191448638679386,106696.4296875,100086.19635416666,90061.85529513888,1.5603745848050492,1.641293680699399,2685.1015625,2.4044261370711717,2025-05,May
2025-05-23,107287.796875,111798.90625,106841.3046875,111679.359375,67548133399,-3.9270668202023518,107239.07366071429,100539.15260416667,90180.85572916667,2.445958832983319,1.8382362578506697,4957.6015625,4.620843848882511,2025-05,May
2025-05-24,107791.15625,109454.5234375,106895.2890625,107278.5078125,45903627163,0.4691674073487251,107896.2265625,101000.73125,90308.825,2.4197236799578903,1.8378191970776039,2559.234375,2.3742526418998313,2025-05,May
2025-05-25,109035.390625,109313.3046875,106683.375,107802.2734375,47518041841,1.1543009819045436,108266.13839285714,101477.89427083333,90504.571875,2.1810948606935736,1.8409481554587246,2629.9296875,2.411996391653226,2025-05,May
2025-05-26,109440.3671875,110376.8828125,108735.640625,109023.78125,45950461571,0.3714175371671846,108813.87946428571,101971.00885416666,90734.61848958333,2.122109175791327,1.8380267935908976,1641.2421875,1.4996680198341463,2025-05,May
2025-05-27,108994.640625,110744.2109375,107609.5546875,109440.40625,57450176272,-0.4072780217708405,109128.67299107143,102479.00208333334,91008.48090277778,2.129751146122503,1.8260862764353405,3134.65625,2.8759728295126896,2025-05,May
2025-05-28,107802.328125,109298.2890625,106812.9296875,108992.171875,49155377493,-1.0939184653144474,108860.70870535714,102906.4546875,91265.12647569444,1.8890873071721332,1.8429297135855414,2485.359375,2.305478386439068,2025-05,May
2025-05-29,105641.7578125,108910.046875,105374.3984375,107795.5703125,56022752042,-2.004196337944353,107999.0625,103285.0203125,91501.44592013888,1.7448869455904803,1.8849949922742852,3535.6484375,3.346828480244813,2025-05,May
2025-05-30,103998.5703125,106308.9453125,103685.7890625,105646.2109375,57655287183,-1.5554336978341854,107529.17299107143,103611.39557291666,91701.07543402778,1.1652134126439484,1.9168255500968714,2623.15625,2.5223002990500847,2025-05,May
2025-05-31,104638.09375,104927.1015625,103136.1171875,103994.71875,38997843858,0.6149348357177731,107078.73549107143,103882.92083333334,91816.5170138889,1.1852577020975903,1.8772418953715662,1790.984375,1.7115988172328493,2025-05,May
2025-06-01,105652.1015625,105884.546875,103826.953125,104637.296875,37397056873,0.9690618169351017,106595.40848214286,104174.321875,92034.14401041667,1.1457334972977022,1.8812235942325353,2057.59375,1.9475180517661554,2025-06,Jun
2025-06-02,105881.53125,105958.3125,103727.546875,105649.8125,45819706290,0.21715582000447764,106087.00334821429,104507.31302083333,92241.46996527778,1.1288022608712427,1.8638731327669629,2230.765625,2.1068505514270224,2025-06,Jun
2025-06-03,105432.46875,106813.578125,104920.84375,105888.4765625,46196508367,-0.42411787466475337,105578.12165178571,104877.86276041667,92406.01336805556,1.1286750186321994,1.8319878456450827,1892.734375,1.7952101448824322,2025-06,Jun
2025-06-04,104731.984375,105997.6953125,104232.703125,105434.3671875,44544857105,-0.6643915136436584,105139.50111607143,105210.66041666667,92570.12734375,1.100298925626522,1.8419445905137248,1764.9921875,1.6852465825342575,2025-06,Jun
2025-06-05,101575.953125,105936.6875,100436.8828125,104750.78125,57479298400,-3.0134359325224014,104558.671875,105369.77630208334,92734.94157986112,1.376074715207946,1.907413616752841,5499.8046875,5.414475097990866,2025-06,Jun
2025-06-06,104390.34375,105376.7734375,101169.5703125,101574.3671875,48856653697,2.7707252931573167,104614.63950892857,105615.04375,92937.56102430556,1.7659672071378645,1.9653337455934512,4207.203125,4.030260820939198,2025-06,Jun
2025-06-07,105615.625,105972.7578125,103987.3125,104390.6484375,38365033776,1.1737496074678777,104754.28683035714,105694.18255208334,93215.50086805556,1.8070115167478797,1.6003836202616615,1985.4453125,1.8798783915732167,2025-06,Jun
2025-06-08,105793.6484375,106497.0625,105075.328125,105617.5078125,36626232328,0.16855786016509722,104774.5078125,105788.27578125,93518.40807291666,1.7712905477443082,1.5990637288076335,1421.734375,1.3438749830429773,2025-06,Jun
2025-06-09,110294.1015625,110561.421875,105400.234375,105793.0234375,55903193732,4.253991795791734,105404.875,105974.86822916666,93823.20685763888,2.3903574624499337,1.7488034087536204,5161.1875,4.679477349090447,2025-06,Jun
2025-06-10,110257.234375,110380.125,108367.7109375,110295.6875,54700101509,-0.03342625487465778,106094.12723214286,106179.89739583334,94118.03880208333,2.3666500211844825,1.7436133475714157,2012.4140625,1.8251991117929762,2025-06,Jun
2025-06-11,108686.625,110384.21875,108086.328125,110261.796875,50842662052,-1.4244955298426398,106659.07589285714,106375.68645833334,94424.92682291666,2.4536549011752786,1.7491385690139478,2297.890625,2.1142349622136116,2025-06,Jun
2025-06-12,105929.0546875,108780.6953125,105785.6875,108685.9140625,54843867968,-2.5371753999169577,107280.94754464286,106434.32786458333,94668.92630208333,2.3422387089209025,1.8048639882542405,2995.0078125,2.827371415081099,2025-06,Jun
2025-06-13,106090.96875,106182.546875,102822.0234375,105924.59375,69550440846,0.15285141831733462,107523.89397321429,106519.3796875,94910.56918402777,2.1429708502910647,1.800363845686089,3360.5234375,3.1675867202409727,2025-06,Jun
2025-06-14,105472.40625,106203.7578125,104379.3671875,106108.0859375,38007870453,-0.5830491579897124,107503.43415178571,106576.971875,95164.93272569444,2.1195805634589884,1.8044924173053492,1824.390625,1.729732628528137,2025-06,Jun
2025-06-15,105552.0234375,106157.1015625,104519.8828125,105464.84375,36744307742,0.0754862720314664,107468.91629464286,106645.7296875,95403.55868055555,2.118635824407926,1.803499766916427,1637.21875,1.551101245320454,2025-06,Jun
